time,READ Read_LMO,READ Read_RMO,READ Read_anglePIDOutput,READ Read_APIDKp,READ Read_APIDKi,READ Read_APIDKd,READ Read_APIDAggKp,READ Read_APIDAggKi,READ Read_APIDAggKd,READ Read_SPIDKp,READ Read_SPIDKi,READ Read_SPIDKd,READ Read_Yaw,READ Read_Roll,READ Read_Pitch,READ Read_MotorsON,READ Read_LoopT,READ Read_SetsteerGain,READ Read_SetthrottleGain,READ Read_TriggerAngleAggressive,READ Read_Info,READ Read_ISTE,READ Read_BAL,READ Read_calibratedZeroAngle,
1414434486679,,,32.85,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-12.12,1.57,5.30,False,5,0,0,750.00,System,0.03,0.09,180.00,
1414434486839,,,-4.13,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-14.20,1.50,3.04,False,6,0,0,750.00,System,0.20,0.41,180.00,
1414434486999,,,10.68,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-14.77,1.55,4.45,False,7,0,0,750.00,System,0.02,0.07,180.00,
1414434487175,,,1.76,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-15.36,1.43,3.92,False,5,0,0,750.00,System,0.21,0.11,180.00,
1414434487317,,,-14.95,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-15.92,1.35,1.63,False,5,0,0,750.00,System,0.17,0.17,180.00,
1414434487495,,,2.71,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-16.53,1.28,2.34,False,6,0,0,750.00,System,0.05,0.11,180.00,
1414434487625,,,24.55,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-17.00,1.33,5.96,False,7,0,0,750.00,System,0.06,0.12,180.00,
1414434487784,,,-9.44,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-18.01,1.05,3.62,False,6,0,0,750.00,System,0.32,0.32,180.00,
1414434487949,,,-10.78,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-18.23,1.05,1.61,False,5,0,0,750.00,System,0.25,0.37,180.00,
1414434488125,,,5.39,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-18.35,0.93,1.79,False,6,0,0,750.00,System,0.07,0.07,180.00,
1414434488260,,,11.46,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-18.53,0.87,1.69,False,6,0,0,750.00,System,0.04,0.04,180.00,
1414434488412,,,35.35,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-18.72,0.60,3.25,False,6,0,0,750.00,System,0.07,0.07,180.00,
1414434488593,,,2.67,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-18.24,0.49,3.92,False,10,0,0,750.00,System,0.11,0.44,180.00,
1414434488735,,,1.57,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-18.91,0.42,4.42,False,5,0,0,750.00,System,0.16,0.24,180.00,
1414434488916,,,-8.58,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-19.26,0.47,3.16,False,5,0,0,750.00,System,0.20,0.20,180.00,
1414434489051,,,-2.09,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-19.38,0.44,2.01,False,6,0,0,750.00,System,0.23,0.23,180.00,
1414434489229,,,10.34,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-19.87,0.66,2.17,False,6,0,0,750.00,System,0.05,0.07,180.00,
1414434489370,,,28.92,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-19.91,0.73,3.22,False,6,0,0,750.00,System,0.03,0.04,180.00,
1414434489542,,,-1.61,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-20.60,0.62,2.35,False,6,0,0,750.00,System,0.19,0.19,180.00,
1414434489685,,,-7.81,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-20.45,0.65,2.08,False,7,0,0,750.00,System,0.13,0.20,180.00,
1414434489847,,,11.44,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-19.89,0.63,3.23,False,5,0,0,750.00,System,0.01,0.03,180.00,
1414434490026,,,3.10,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-19.99,0.61,2.96,False,5,0,0,750.00,System,0.11,0.05,180.00,
1414434490165,,,-3.29,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-20.70,0.57,2.16,False,6,0,0,750.00,System,0.17,0.17,180.00,
1414434490341,,,8.13,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-20.73,0.42,3.01,False,5,0,0,750.00,System,0.02,0.04,180.00,
1414434490475,,,2.19,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-20.30,0.37,3.66,False,5,0,0,750.00,System,0.10,0.10,180.00,
1414434490631,,,-14.05,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-19.28,0.32,2.94,False,5,0,0,750.00,System,0.23,0.34,180.00,
1414434490815,,,-35.83,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-18.68,0.42,1.89,False,6,0,0,750.00,System,0.28,0.42,180.00,
1414434490948,,,-19.61,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-19.23,0.46,0.35,False,5,0,0,750.00,System,0.16,0.16,180.00,
1414434491107,,,15.19,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-20.20,0.55,2.37,False,6,0,0,750.00,System,0.00,0.00,180.00,
1414434491279,,,-2.76,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-20.60,0.50,2.53,False,5,0,0,750.00,System,0.14,0.14,180.00,
1414434491424,,,-9.61,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-20.94,0.51,2.70,False,6,0,0,750.00,System,0.09,0.05,180.00,
1414434491594,,,-17.11,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-20.64,0.40,2.19,False,6,0,0,750.00,System,0.10,0.05,180.00,
1414434491733,,,-1.87,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-20.72,0.41,2.76,False,5,0,0,750.00,System,0.11,0.11,180.00,
1414434491896,,,-17.67,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-20.86,0.63,1.43,False,5,0,0,750.00,System,0.23,0.80,180.00,
1414434492056,,,-16.81,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-21.18,0.69,0.53,False,6,0,0,750.00,System,0.24,0.98,180.00,
1414434492214,,,-14.72,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-21.02,0.69,0.11,False,6,0,0,750.00,System,0.24,0.83,180.00,
1414434492382,,,-14.68,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-21.21,0.54,-0.38,False,6,0,0,750.00,System,0.07,0.21,180.00,
1414434492524,,,-4.27,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-20.84,0.54,0.15,False,6,0,0,750.00,System,0.03,0.08,180.00,
1414434492686,,,-11.87,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-20.05,0.39,0.55,False,6,0,0,750.00,System,0.04,0.10,180.00,
1414434492863,,,-16.89,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-19.44,0.10,0.72,False,5,0,0,750.00,System,0.13,0.39,180.00,
1414434493002,,,-41.57,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-18.65,0.16,-0.14,False,5,0,0,750.00,System,0.17,0.51,180.00,
1414434493168,,,-16.30,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-17.89,0.26,0.25,False,5,0,0,750.00,System,0.03,0.06,180.00,
1414434493331,,,-32.70,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-16.66,0.37,-1.89,False,6,0,0,750.00,System,0.17,0.61,180.00,
1414434493487,,,-4.91,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-15.13,0.30,-0.24,False,5,0,0,750.00,System,0.02,0.03,180.00,
1414434493662,,,5.49,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-13.25,0.28,2.83,False,6,0,0,750.00,System,0.08,0.08,180.00,
1414434493866,,,-45.23,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-12.22,0.20,1.41,False,6,0,0,750.00,System,0.47,1.89,180.00,
1414434493982,,,-55.48,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-12.05,0.72,-0.33,False,6,0,0,750.00,System,0.26,0.92,180.00,
1414434494122,,,-26.11,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-11.92,0.86,-3.35,False,5,0,0,750.00,System,0.27,1.78,180.00,
1414434494302,,,-24.34,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-11.37,0.96,-3.69,False,6,0,0,750.00,System,0.05,0.26,180.00,
1414434494440,,,-12.81,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-10.63,0.93,-3.07,False,6,0,0,750.00,System,0.01,0.04,180.00,
1414434494600,,,-15.07,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-10.13,0.55,0.20,False,5,0,0,750.00,System,0.01,0.01,180.00,
1414434494756,,,-24.09,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-10.32,0.31,-0.67,False,7,0,0,750.00,System,0.13,0.40,180.00,
1414434494916,,,-40.47,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-9.89,0.57,-1.05,False,5,0,0,750.00,System,0.41,2.25,180.00,
1414434495076,,,-35.81,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-9.44,0.56,-1.90,False,6,0,0,750.00,System,0.02,0.06,180.00,
1414434495237,,,-5.05,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-8.49,0.20,-1.58,False,6,0,0,750.00,System,0.11,0.54,180.00,
1414434495391,,,-47.67,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-7.74,0.16,-1.56,False,7,0,0,750.00,System,0.13,0.38,180.00,
1414434495567,,,-26.31,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-6.63,0.37,-1.01,False,5,0,0,750.00,System,0.04,0.12,180.00,
1414434495711,,,-10.99,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-5.19,0.09,0.11,False,6,0,0,750.00,System,0.01,0.02,180.00,
1414434495886,,,-27.73,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-4.49,0.11,-0.49,False,6,0,0,750.00,System,0.06,0.17,180.00,
1414434496042,,,-24.46,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-3.82,-0.02,-3.70,False,5,0,0,750.00,System,0.20,0.80,180.00,
1414434496218,,,-7.38,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-2.50,-0.11,-2.81,False,5,0,0,750.00,System,0.00,0.00,180.00,
1414434496358,,,7.20,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-1.19,0.05,-1.06,False,6,0,0,750.00,System,0.00,0.00,180.00,
1414434496517,,,39.64,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-0.91,0.14,0.44,False,5,0,0,750.00,System,0.04,0.06,180.00,
1414434496673,,,-15.45,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-1.04,0.37,-0.51,False,6,0,0,750.00,System,0.14,0.14,180.00,
1414434496834,,,-9.76,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-1.09,0.54,-0.65,False,5,0,0,750.00,System,0.02,0.03,180.00,
