time,READ Read_LMO,READ Read_RMO,READ Read_anglePIDOutput,READ Read_APIDKp,READ Read_APIDKi,READ Read_APIDKd,READ Read_APIDAggKp,READ Read_APIDAggKi,READ Read_APIDAggKd,READ Read_SPIDKp,READ Read_SPIDKi,READ Read_SPIDKd,READ Read_Yaw,READ Read_Roll,READ Read_Pitch,READ Read_MotorsON,READ Read_LoopT,READ Read_SetsteerGain,READ Read_SetthrottleGain,READ Read_TriggerAngleAggressive,READ Read_Info,READ Read_ISTE,READ Read_BAL,READ FirmwareVersion,READ Read_calibratedZeroAngle,
1414873232337,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,3.83,0.97,-6.46,0,5,0,0,750.00,System,0.11,0.00,0.5,180.00,
1414873232390,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,3.83,0.97,-6.47,0,5,0,0,750.00,System,0.11,0.00,0.5,180.00,
1414873232696,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,3.82,0.97,-6.45,0,5,0,0,750.00,System,0.11,0.00,0.5,180.00,
1414873232852,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,3.84,0.94,-6.47,0,6,0,0,750.00,System,0.13,0.00,0.5,180.00,
1414873233002,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,3.84,1.00,-6.46,0,5,0,0,750.00,System,0.11,0.00,0.5,180.00,
