time,READ Read_LMO,READ Read_RMO,READ Read_anglePIDOutput,READ Read_APIDKp,READ Read_APIDKi,READ Read_APIDKd,READ Read_APIDAggKp,READ Read_APIDAggKi,READ Read_APIDAggKd,READ Read_SPIDKp,READ Read_SPIDKi,READ Read_SPIDKd,READ Read_Yaw,READ Read_Roll,READ Read_Pitch,READ Read_MotorsON,READ Read_LoopT,READ Read_SetsteerGain,READ Read_SetthrottleGain,READ Read_TriggerAngleAggressive,READ Read_Info,READ Read_ISTE,READ Read_BAL,READ FirmwareVersion,READ Read_calibratedZeroAngle,
1414696034183,-1.00,1.00,-8.34,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.50,1.21,2.98,False,121,0,0,750.00,System,3.64,2.31,0.5,180.00,
1414696034326,1.00,0.00,29.46,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.44,1.27,2.41,False,5,0,0,750.00,System,0.13,0.48,0.5,180.00,
1414696034476,1.00,0.00,16.92,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,0.00,1.23,1.33,2.25,False,5,0,0,750.00,System,0.10,0.21,0.5,180.00,
1414696034634,1.00,0.00,11.42,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,0.00,1.33,1.30,2.86,False,6,0,0,750.00,System,0.11,0.12,0.5,180.00,
1414696034796,1.00,0.00,-9.51,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,0.00,1.25,1.25,4.28,False,5,0,0,750.00,System,0.12,0.08,0.5,180.00,
1414696034939,-1.00,0.00,3.52,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,0.00,1.41,1.23,5.70,False,121,0,0,750.00,System,2.35,0.76,0.5,180.00,
1414696035105,1.00,0.00,-95.17,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,0.00,1.38,1.23,5.98,False,5,0,0,750.00,System,0.30,0.38,0.5,180.00,
1414696035256,-1.00,0.00,-18.54,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,0.00,1.36,1.23,5.86,False,5,0,0,750.00,System,0.28,0.23,0.5,180.00,
1414696035410,-1.00,0.00,11.41,0.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,0.00,1.46,1.21,4.91,False,5,0,0,750.00,System,0.27,0.17,0.5,180.00,
1414696035627,-1.00,0.00,28.58,0.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,0.00,1.41,1.21,4.34,False,6,0,0,750.00,System,0.25,0.14,0.5,180.00,
1414696036079,-1.00,0.00,21.00,0.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,0.00,1.52,1.24,4.16,False,5,0,0,750.00,System,0.17,0.11,0.5,180.00,
1414696036322,-1.00,0.00,11.34,0.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,0.00,1.57,1.27,5.10,False,6,0,0,750.00,System,0.20,0.10,0.5,180.00,
1414696036421,-1.00,0.00,-9.18,0.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,0.00,1.61,1.28,6.70,False,6,0,0,750.00,System,0.26,0.12,0.5,180.00,
1414696036540,1.00,0.00,-33.77,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,0.00,1.64,1.22,7.91,False,5,0,0,750.00,System,0.38,0.16,0.5,180.00,
1414696036655,-1.00,0.00,-38.08,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,0.00,1.69,1.15,8.79,False,6,0,0,750.00,System,0.53,0.23,0.5,180.00,
1414696036774,1.00,0.00,-47.54,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,0.00,1.78,1.13,8.50,False,5,0,0,750.00,System,0.58,0.27,0.5,180.00,
1414696036891,1.00,0.00,-41.02,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,0.00,1.79,1.12,7.17,False,6,0,0,750.00,System,0.67,0.31,0.5,180.00,
1414696037009,1.00,0.00,-27.65,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,0.00,1.78,1.16,5.40,False,5,0,0,750.00,System,0.43,0.25,0.5,180.00,
1414696037119,1.00,0.00,-8.33,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,0.00,1.71,1.18,4.70,False,5,0,0,750.00,System,0.28,0.18,0.5,180.00,
1414696037242,-1.00,0.00,-11.56,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,0.00,1.26,1.20,5.96,False,5,0,0,750.00,System,0.20,0.13,0.5,180.00,
1414696037352,-1.00,0.00,-31.89,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,0.00,1.31,1.17,7.42,False,5,0,0,750.00,System,0.28,0.14,0.5,180.00,
1414696037565,-1.00,0.00,-43.85,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.32,1.15,8.46,False,5,0,0,750.00,System,0.39,0.17,0.5,180.00,
1414696037872,-1.00,0.00,-45.68,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.33,1.11,9.36,False,5,0,0,750.00,System,0.48,0.21,0.5,180.00,
1414696037986,-1.00,0.00,-100.00,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.33,1.11,9.47,False,6,0,0,750.00,System,0.69,0.30,0.5,180.00,
1414696038103,-1.00,0.00,-100.00,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.37,1.10,7.73,False,6,0,0,750.00,System,0.71,0.33,0.5,180.00,
1414696038221,1.00,0.00,-35.97,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.36,1.13,5.27,False,5,0,0,750.00,System,0.50,0.28,0.5,180.00,
1414696038329,1.00,0.00,-6.43,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.22,1.18,4.11,False,5,0,0,750.00,System,0.28,0.19,0.5,180.00,
1414696038453,1.00,0.00,-7.64,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.17,1.17,3.95,False,5,0,0,750.00,System,0.20,0.14,0.5,180.00,
1414696038564,1.00,0.00,-9.11,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.30,1.17,3.09,False,5,0,0,750.00,System,0.19,0.11,0.5,180.00,
