time,READ Read_LMO,READ Read_RMO,READ Read_anglePIDOutput,READ Read_APIDKp,READ Read_APIDKi,READ Read_APIDKd,READ Read_APIDAggKp,READ Read_APIDAggKi,READ Read_APIDAggKd,READ Read_SPIDKp,READ Read_SPIDKi,READ Read_SPIDKd,READ Read_Yaw,READ Read_Roll,READ Read_Pitch,READ Read_MotorsON,READ Read_LoopT,READ Read_SetsteerGain,READ Read_SetthrottleGain,READ Read_TriggerAngleAggressive,READ Read_Info,READ Read_ISTE,READ Read_BAL,READ FirmwareVersion,READ Read_calibratedZeroAngle,
1414860173125,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,0.48,1.27,-6.45,0,6,0,0,750.00,System,0.13,0.00,0.5,180.00,
1414860173266,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,0.49,1.26,-6.40,0,5,0,0,750.00,System,0.11,0.00,0.5,180.00,
1414860173418,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,0.52,1.23,-6.38,0,5,0,0,750.00,System,0.11,0.00,0.5,180.00,
1414860173569,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,0.50,1.26,-6.36,0,6,0,0,750.00,System,0.13,0.00,0.5,180.00,
1414860173725,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,0.48,1.23,-6.34,0,5,0,0,750.00,System,0.10,0.00,0.5,180.00,
1414860173877,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,0.50,1.22,-6.31,0,6,0,0,750.00,System,0.12,0.00,0.5,180.00,
1414860174033,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,0.50,1.23,-6.28,0,5,0,0,750.00,System,0.10,0.00,0.5,180.00,
1414860174340,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,0.52,1.26,-6.24,0,5,0,0,750.00,System,0.10,0.00,0.5,180.00,
1414860174492,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,0.50,1.24,-6.23,0,6,0,0,750.00,System,0.12,0.00,0.5,180.00,
1414860174798,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,0.49,1.26,-6.25,0,5,0,0,750.00,System,0.10,0.00,0.5,180.00,
1414860175105,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,0.51,1.26,-6.21,0,6,0,0,750.00,System,0.12,0.00,0.5,180.00,
1414860175257,0.00,0.00,100.00,728.00,260.00,48.00,1970.00,12.75,551.00,5540.00,1330.00,23.00,0.51,1.28,-6.18,0,5,0,0,750.00,System,0.10,0.00,0.5,180.00,
