time,READ Read_LMO,READ Read_RMO,READ Read_anglePIDOutput,READ Read_APIDKp,READ Read_APIDKi,READ Read_APIDKd,READ Read_APIDAggKp,READ Read_APIDAggKi,READ Read_APIDAggKd,READ Read_SPIDKp,READ Read_SPIDKi,READ Read_SPIDKd,READ Read_Yaw,READ Read_Roll,READ Read_Pitch,READ Read_MotorsON,READ Read_LoopT,READ Read_SetsteerGain,READ Read_SetthrottleGain,READ Read_TriggerAngleAggressive,READ Read_Info,READ Read_ISTE,READ Read_BAL,READ FirmwareVersion,READ Read_calibratedZeroAngle,
1414967207171,-1.00,-1.00,-17.01,546.00,195.00,36.00,1477.50,9.00,413.25,4155.00,997.50,17.25,50.42,1.45,5.02,0,5,0,0,750.00,System,0.19,0.16,0.5,180.00,
1414967207217,-1.00,-1.00,-17.01,546.00,195.00,36.00,1477.50,9.00,413.25,4155.00,997.50,17.25,50.42,1.45,2.54,0,5,0,0,750.00,System,0.19,0.16,0.5,180.00,
1414967207315,0.00,1.00,3.23,546.00,195.00,36.00,1477.50,9.00,413.25,4155.00,997.50,17.25,49.77,1.31,4.07,0,6,0,0,750.00,System,0.20,0.09,0.5,180.00,
1414967207467,0.00,0.00,-10.11,546.00,195.00,36.00,1477.50,9.00,413.25,4155.00,997.50,17.25,50.79,1.34,2.68,0,5,0,0,750.00,System,0.12,0.00,0.5,180.00,
1414967207618,0.00,1.00,1.49,546.00,195.00,36.00,1477.50,9.00,413.25,4155.00,997.50,17.25,50.63,1.32,3.87,0,5,0,0,750.00,System,0.12,0.07,0.5,180.00,
1414967207774,0.00,-1.00,-7.40,546.00,195.00,36.00,1477.50,9.00,413.25,4155.00,997.50,17.25,51.87,1.21,2.88,0,6,0,0,750.00,System,0.12,0.06,0.5,180.00,
1414967207931,0.00,0.00,5.37,546.00,195.00,36.00,1477.50,9.00,413.25,4155.00,997.50,17.25,50.95,1.31,4.58,0,6,0,0,750.00,System,0.06,0.00,0.5,180.00,
1414967208086,0.00,-1.00,-14.79,546.00,195.00,36.00,1477.50,9.00,413.25,4155.00,997.50,17.25,51.90,1.12,2.63,0,7,0,0,750.00,System,0.23,0.09,0.5,180.00,
1414967208237,0.00,1.00,9.37,546.00,195.00,36.00,1477.50,9.00,413.25,4155.00,997.50,17.25,51.10,1.17,4.48,0,6,0,0,750.00,System,0.05,0.05,0.5,180.00,
1414967208394,0.00,0.00,-12.76,546.00,195.00,36.00,1477.50,9.00,413.25,4155.00,997.50,17.25,52.58,1.09,3.25,0,6,0,0,750.00,System,0.17,0.00,0.5,180.00,
