time,READ Read_LMO,READ Read_RMO,READ Read_anglePIDOutput,READ Read_APIDKp,READ Read_APIDKi,READ Read_APIDKd,READ Read_APIDAggKp,READ Read_APIDAggKi,READ Read_APIDAggKd,READ Read_SPIDKp,READ Read_SPIDKi,READ Read_SPIDKd,READ Read_Yaw,READ Read_Roll,READ Read_Pitch,READ Read_MotorsON,READ Read_LoopT,READ Read_SetsteerGain,READ Read_SetthrottleGain,READ Read_TriggerAngleAggressive,READ Read_Info,READ Read_ISTE,READ Read_BAL,READ Read_calibratedZeroAngle,
1414325548957,,,-15.34,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-11.83,0.54,2.34,False,7,0,0,750.00,System,0.25,0.38,180.00,
1414325549046,,,-20.53,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-12.03,0.51,2.19,False,6,0,0,750.00,System,0.21,0.21,180.00,
1414325549216,,,-30.03,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-12.68,0.59,-0.00,False,6,0,0,750.00,System,0.18,0.36,180.00,
1414325549375,,,-0.92,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-13.23,0.46,-0.60,False,6,0,0,750.00,System,0.14,0.28,180.00,
1414325549531,,,9.46,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-13.20,0.59,0.83,False,5,0,0,750.00,System,0.00,0.00,180.00,
1414325549720,,,-9.20,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-12.84,0.38,0.05,False,5,0,0,750.00,System,0.13,0.13,180.00,
1414325549855,,,0.26,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-13.45,0.48,0.51,False,6,0,0,750.00,System,0.04,0.04,180.00,
1414325550011,,,21.03,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-13.25,0.68,1.89,False,5,0,0,750.00,System,0.06,0.06,180.00,
1414325550167,,,-9.77,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-13.16,0.58,0.89,False,6,0,0,750.00,System,0.20,0.29,180.00,
1414325550329,,,-7.46,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-13.18,0.61,1.22,False,5,0,0,750.00,System,0.04,0.02,180.00,
1414325550481,,,-1.61,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-13.37,0.72,1.31,False,6,0,0,750.00,System,0.03,0.02,180.00,
