time,READ Read_LMO,READ Read_RMO,READ Read_anglePIDOutput,READ Read_APIDKp,READ Read_APIDKi,READ Read_APIDKd,READ Read_APIDAggKp,READ Read_APIDAggKi,READ Read_APIDAggKd,READ Read_SPIDKp,READ Read_SPIDKi,READ Read_SPIDKd,READ Read_Yaw,READ Read_Roll,READ Read_Pitch,READ Read_MotorsON,READ Read_LoopT,READ Read_SetsteerGain,READ Read_SetthrottleGain,READ Read_TriggerAngleAggressive,READ Read_Info,READ Read_ISTE,READ Read_BAL,READ Read_calibratedZeroAngle,
1414323613568,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,35.04,1.45,-7.02,False,5,0,0,750.00,System,0.11,0.05,180.00,
1414323613970,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,35.17,1.42,-7.03,False,5,0,0,750.00,System,0.11,0.05,180.00,
1414323614114,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,35.20,1.44,-7.02,False,5,0,0,750.00,System,0.17,0.08,180.00,
1414323614613,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,35.33,1.46,-7.03,False,5,0,0,750.00,System,0.17,0.08,180.00,
1414323614903,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,35.43,1.48,-7.02,False,5,0,0,750.00,System,0.17,0.08,180.00,
1414323615371,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,35.57,1.44,-7.03,False,6,0,0,750.00,System,0.20,0.10,180.00,
1414323615706,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,35.66,1.45,-7.04,False,5,0,0,750.00,System,0.17,0.08,180.00,
1414323615858,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,35.72,1.47,-7.03,False,5,0,0,750.00,System,0.17,0.08,180.00,
1414323616046,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,35.76,1.48,-7.02,False,6,0,0,750.00,System,0.13,0.07,180.00,
1414323616338,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,35.86,1.48,-7.03,False,5,0,0,750.00,System,0.17,0.08,180.00,
1414323616677,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,35.94,1.49,-7.05,False,6,0,0,750.00,System,0.20,0.10,180.00,
1414323617190,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,36.06,1.49,-7.06,False,5,0,0,750.00,System,0.17,0.08,180.00,
1414323617827,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,36.25,1.49,-7.07,False,5,0,0,750.00,System,0.17,0.08,180.00,
1414323617988,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,36.30,1.49,-7.06,False,5,0,0,750.00,System,0.11,0.06,180.00,
1414323618537,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,36.43,1.48,-7.05,False,5,0,0,750.00,System,0.11,0.06,180.00,
1414323618692,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,36.46,1.48,-7.06,False,5,0,0,750.00,System,0.11,0.06,180.00,
1414323618846,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,36.51,1.48,-7.08,False,5,0,0,750.00,System,0.11,0.06,180.00,
1414323619163,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,36.60,1.48,-7.06,False,5,0,0,750.00,System,0.11,0.06,180.00,
1414323619487,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,36.69,1.48,-7.05,False,6,0,0,750.00,System,0.13,0.07,180.00,
1414323619810,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,36.76,1.48,-7.06,False,5,0,0,750.00,System,0.17,0.08,180.00,
1414323619966,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,36.83,1.49,-7.07,False,5,0,0,750.00,System,0.11,0.06,180.00,
1414323620285,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,36.92,1.49,-7.06,False,5,0,0,750.00,System,0.11,0.06,180.00,
1414323620443,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,36.97,1.48,-7.07,False,5,0,0,750.00,System,0.17,0.08,180.00,
1414323620602,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,37.01,1.50,-7.08,False,5,0,0,750.00,System,0.11,0.06,180.00,
1414323620774,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,37.06,1.49,-7.07,False,5,0,0,750.00,System,0.11,0.06,180.00,
1414323620929,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,37.11,1.50,-7.06,False,5,0,0,750.00,System,0.17,0.08,180.00,
1414323621079,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,37.14,1.49,-7.05,False,5,0,0,750.00,System,0.11,0.06,180.00,
1414323621722,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,37.31,1.50,-7.06,False,5,0,0,750.00,System,0.17,0.08,180.00,
1414323621873,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,37.37,1.51,-7.07,False,5,0,0,750.00,System,0.11,0.06,180.00,
1414323622347,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,37.50,1.51,-7.08,False,6,0,0,750.00,System,0.13,0.07,180.00,
1414323622496,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,37.54,1.50,-7.09,False,5,0,0,750.00,System,0.11,0.06,180.00,
1414323623133,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,37.71,1.50,-7.08,False,6,0,0,750.00,System,0.20,0.10,180.00,
1414323623301,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,37.75,1.49,-7.09,False,7,0,0,750.00,System,0.24,0.12,180.00,
1414323623484,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,37.81,1.49,-7.07,False,6,0,0,750.00,System,0.13,0.07,180.00,
1414323623623,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,37.86,1.50,-7.05,False,6,0,0,750.00,System,0.13,0.07,180.00,
1414323623930,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,37.93,1.49,-7.06,False,5,0,0,750.00,System,0.11,0.06,180.00,
1414323624280,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,38.01,1.50,-7.05,False,7,0,0,750.00,System,0.16,0.08,180.00,
1414323624449,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,38.04,1.47,-7.06,False,5,0,0,750.00,System,0.17,0.08,180.00,
1414323624599,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,38.10,1.48,-7.07,False,5,0,0,750.00,System,0.17,0.08,180.00,
1414323624811,1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,38.14,1.48,-7.05,False,7,0,0,750.00,System,0.16,0.08,180.00,
1414323624966,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,38.18,1.46,-7.03,False,5,0,0,750.00,System,0.17,0.08,180.00,
1414323625282,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,38.28,1.47,-7.02,False,6,0,0,750.00,System,0.13,0.07,180.00,
1414323625602,-1.00,0.00,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,38.35,1.47,-7.01,False,5,0,0,750.00,System,0.17,0.08,180.00,
